Linear Regression:
Iteration, x, y, y_pred, MSE
57,2020.00,274814866.00,275780902.97,933227434873.62
58,2021.00,276758053.00,278762977.75,4019723249434.79
59,2022.00,278830529.00,281737848.04,8452504029029.56
60,2023.00,281190067.00,284705513.86,12358366635667.46


0.00,-20453865426.93

Order, 2
f(x) = -3602.2396x^2 + 17538725.1819x^1 - 20453865317.3744
 syx, 1669376.3692
 r2, 1.0000


Polynomial Regression:
Iteration, x, y, y_pred, MSE
1,1960.00,88296070.00,87168369.35,1271708754424.34
2,1961.00,90791249.00,89910154.71,776327149028.02
3,1962.00,93375850.00,92699421.44,457555601829.19
4,1963.00,96051424.00,95534372.57,267342184971.98
5,1964.00,98833749.00,98413211.14,176852094902.94
6,1965.00,101365130.00,101334140.18,960368972.59
7,1966.00,103792754.00,104295362.73,252615538844.28
8,1967.00,106526393.00,107295081.83,590882520577.17
9,1968.00,109450006.00,110331500.51,777032574067.12
10,1969.00,112517639.00,113402821.81,783548601768.58
11,1970.00,115657495.00,116507248.75,722081444062.24
12,1971.00,118833702.00,119642984.39,654937985248.87
13,1972.00,122039841.00,122808231.75,590424337315.12
14,1973.00,125288515.00,126001193.86,507911156480.77
15,1974.00,128555045.00,129220073.77,442263260614.99
16,1975.00,131843848.00,132463074.50,383441461432.70
17,1976.00,135173655.00,135728399.10,307741019280.44
18,1977.00,138533541.00,139014250.60,231081721604.22
19,1978.00,141953163.00,142318832.04,133713844159.79
20,1979.00,145434834.00,145640346.44,42235363839.40
21,1980.00,148950540.00,148976996.85,699965053.88
22,1981.00,152485035.00,152326986.30,24979390257.74
23,1982.00,156052152.00,155688517.83,132229807845.56
24,1983.00,159651381.00,159059794.47,349974619127.58
25,1984.00,163251124.00,162439019.26,659514108105.47
26,1985.00,166776185.00,165824395.23,905903764419.01
27,1986.00,170175065.00,169214125.42,923404877295.69
28,1987.00,173511154.00,172606412.86,818556526812.42
29,1988.00,176855065.00,175999460.59,732058898330.25
30,1989.00,180201630.00,179391471.65,656356550118.28
31,1990.00,183501098.00,182780649.07,519046664530.54
32,1991.00,186778238.00,186165195.88,375820641991.33
33,1992.00,190043744.00,189543315.12,250429062582.07
34,1993.00,193305168.00,192913209.83,153631206999.34
35,1994.00,196591828.00,196273083.04,101598349163.39
36,1995.00,199888057.00,199621137.79,71245865532.66
37,1996.00,203204348.00,202955577.11,61886956508.12
38,1997.00,206536095.00,206274604.04,68377524224.22
39,1998.00,209826788.00,209576421.61,62683329878.36
40,1999.00,213004668.00,212859232.86,21151380263.98
41,2000.00,216077790.00,216121240.82,1887974061.18
42,2001.00,219097902.00,219360648.54,69035742908.55
43,2002.00,222088495.00,222575659.04,237328798494.96
44,2003.00,225048008.00,225764475.36,513325472724.30
45,2004.00,227926649.00,228925300.53,997304881925.12
46,2007.00,237062337.00,238221859.55,1344492542396.99
47,2008.00,240157903.00,241252750.50,1198691054534.59
48,2009.00,243220028.00,244246665.49,1053984534093.56
49,2010.00,246305322.00,247201807.54,803686331532.29
50,2011.00,249470032.00,250116379.70,417765353171.00
51,2012.00,252698525.00,252988585.00,84134804435.95
52,2013.00,255852467.00,255816626.47,1284543281.78
53,2014.00,258877399.00,258598707.16,77669143074.30
54,2017.00,267346658.00,266651214.82,483641211985.25
55,2018.00,269951846.00,269231482.70,518923282384.41
56,2019.00,272489381.00,271756804.97,536667645066.72
